eu sou admirada por muitos;alegria
o mundo e feio como o pecado;desgosto
estou amedrontado;medo
isso tudo e um erro;tristeza
me sinto completamente amado;alegria
a coisa mais difícil de esconder e aquilo que não existe;desgosto
ele esta me ameacando a dias;medo
eu sou errada eu sou errante;tristeza
amar e maravilhoso;alegria
você errou feio aquele gol;desgosto
isso me deixa apavorada;medo
tenho muito dó do cachorro;tristeza
estou me sentindo muito animado novamente;alegria
nunca vou me casar sou muito feia;desgosto
este lugar e apavorante;medo
e dolorida a perda de um filho;tristeza
eu estou muito bem hoje;alegria
os golpes da adversidade são terrivelmente amargos;desgosto
se perdermos outro jogo seremos eliminados e isso me deixa com pavor;medo
essa tragedia vai nos abalar para sempre;tristeza
que belo dia para dirigir um carro novo;alegria
os homem ficam terrivelmente chatos;desgosto
tome cuidado com o lobisomem;medo
perdi meus filhos;tristeza
o dia está muito bonito;alegria
abominavelmente convencido;desgosto
se eles descobrirem estamos encrencados;medo
perdi meu curso;tristeza
estou contente com o resultado do teste que fiz no dia de ontem;alegria
terrivelmente irritado;desgosto
estou tremendo de medo;medo
sou só uma chorona;tristeza
o amor e lindo;alegria
as instituições publicas estão terrivelmente decadentes;desgosto
eu tenho muito medo dele;medo
você e um chorão;tristeza
nossa amizade e amor vai durar para sempre;alegria
a população viveu em isolamento por muito tempo;desgosto
estou com medo do resultado dos meus testes;medo
se arrependimento matasse;tristeza
Saber encontrar a alegria na alegria dos outros, é o segredo da felicidade.;alegria
estou terrivelmente preocupada;desgosto
que abominável esse montro!;medo
me sinto deslocado em sala de aula;tristeza
A alegria de fazer o bem é a única felicidade verdadeira.;alegria
o nacionalismo e uma doença infantil;desgosto
vamos alarmar a todos sobre a situação;medo
foi uma passagem fúnebre;tristeza
É claro que a vida é boa;alegria
se me es antipático a minha negação esta pronta;desgosto
estou amedrontada;medo
nossa condolências e tristeza a sua perda;tristeza
É claro que te acho linda;alegria
muitos documentários sobre esse casal antipático;desgosto
estou com muito medo da noite;medo
desanimo, raiva, solidão ou vazies, depressão;tristeza
ti bendigo o amor das coisas simples;alegria
sua beleza não desfaça sua antipatia;desgosto
ele esta me ameaçando a dias;medo
vivo te desanimando;tristeza
É claro que te amo;alegria
esta e uma experiência desagradável;desgosto
quanta angustia;medo
estou desanimado;tristeza
tenho tudo para ser feliz;alegria
desagradável estrago nos banheiros;desgosto
estou angustiada;medo
imperador sanguinário, depravado e temeroso;tristeza
A alegria que se tem em pensar e aprender faz-nos pensar e aprender ainda mais.;alegria
o mais irritante no amor e que se trata de um crime que precisa de um cúmplice;desgosto
angustiadamente vou sair e casa;medo
meu ser esta em agonia;tristeza
A alegria não está nas coisas, está em nós.;alegria
a situação nos causa grande incomodo;desgosto
isso me deixa apavorada;medo
este atrito entre nos tem que acabar;tristeza
O segredo da felicidade é encontrar a nossa alegria na alegria dos outros;alegria
estou preocupado com o incomodo na garganta;desgosto
você esta me apavorando;medo
a escuridão desola meu ser;tristeza
As pessoas felizes lembram o passado com gratidão, alegram-se com o presente e encaram o futuro sem medo.;alegria
simplesmente não quero amolação da policia;desgosto
estou desconfiada de você;medo
sua falsa preocupação;tristeza
A verdadeira felicidade está na própria casa, entre as alegrias da família.;alegria
